origin_zip_range,dest_zip_range,fedex_express_zone,fedex_ground_zone
14300-14399,16300-16599,2,2
14300-14399,16600-16699,3,3
14300-14399,16700-16799,2,2
14300-14399,16800-16899,3,3
14300-14399,16900-16999,2,2
14300-14399,17000-17699,3,3
14300-14399,17700-17799,2,2
14300-14399,17800-19899,3,3
14300-14399,19900-20999,4,4
14300-14399,21000-21399,3,3
14300-14399,21400-21499,4,4
14300-14399,21500-21599,3,3
14300-14399,21600-21699,4,4
14300-14399,21700-21799,3,3
14300-14399,21800-21899,4,4
14300-14399,21900-21999,3,3
14300-14399,22000-22599,4,4
14300-14399,22600-22699,3,3
14300-14399,22700-25399,4,4
14300-14399,25400-25499,3,3
14300-14399,25500-25999,4,4
14300-14399,26000-26899,3,3
14300-14399,26900-26999,NA,NA
14300-14399,27000-28399,4,4
14300-14399,28400-28499,5,5
14300-14399,28500-28999,4,4
14300-14399,29000-29299,5,5
14300-14399,29300-29399,4,4
14300-14399,29400-29599,5,5
14300-14399,29600-29799,4,4
14300-14399,29800-32899,5,5
14300-14399,32900-34299,6,6
14300-14399,34300-34399,NA,NA
14300-14399,34400-34499,5,5
14300-14399,34500-34599,NA,NA
14300-14399,34600-34699,6,6
14300-14399,34700-34799,5,5
14300-14399,34800-34899,NA,NA
14300-14399,34900-34999,6,6
14300-14399,35000-37599,5,5
14300-14399,37600-37999,4,4
14300-14399,38000-38499,5,5
14300-14399,38500-38599,4,4
14300-14399,38600-39499,5,5
14300-14399,39500-39599,6,6
14300-14399,39600-39999,5,5
14300-14399,40000-41899,4,4
14300-14399,41900-41999,NA,NA
14300-14399,42000-42099,5,5
14300-14399,42100-42799,4,4
14300-14399,42800-42999,NA,NA
14300-14399,43000-44399,3,3
14300-14399,44400-44599,2,2
14300-14399,44600-44999,3,3
14300-14399,45000-45699,4,4
14300-14399,45700-45899,3,3
14300-14399,45900-47999,4,4
14300-14399,48000-48999,3,3
14300-14399,49000-49199,4,4
14300-14399,49200-49299,3,3
14300-14399,49300-49599,4,4
14300-14399,49600-49699,3,3
14300-14399,49700-49999,4,4
14300-14399,50000-51699,5,5
14300-14399,51700-51999,NA,NA
14300-14399,52000-52099,4,4
14300-14399,52100-52699,5,5
14300-14399,52700-53999,4,4
14300-14399,54000-54099,5,5
14300-14399,54100-54799,4,4
14300-14399,54800-54899,5,5
14300-14399,54900-54999,4,4
14300-14399,55000-57499,5,5
14300-14399,57500-57799,6,6
14300-14399,57800-57999,NA,NA
14300-14399,58000-58499,5,5
14300-14399,58500-58899,6,6
14300-14399,58900-58999,NA,NA
14300-14399,59000-59199,7,7
14300-14399,59200-59399,6,6
14300-14399,59400-59999,7,7
14300-14399,60000-61999,4,4
14300-14399,62000-62399,5,5
14300-14399,62400-62899,4,4
14300-14399,62900-67499,5,5
14300-14399,67500-67999,6,6
14300-14399,68000-68999,5,5
14300-14399,69000-71199,6,6
14300-14399,71200-71299,5,5
14300-14399,71300-71499,6,6
14300-14399,71500-71599,NA,NA
14300-14399,71600-72999,5,5
14300-14399,73000-73999,6,6
14300-14399,74000-74499,5,5
14300-14399,74500-74899,6,6
14300-14399,74900-74999,5,5
14300-14399,75000-77999,6,6
14300-14399,78000-78599,7,7
14300-14399,78600-78799,6,6
14300-14399,78800-78899,7,7
14300-14399,78900-79699,6,6
14300-14399,79700-79999,7,7
14300-14399,80000-81099,6,6
14300-14399,81100-81699,7,7
14300-14399,81700-81999,NA,NA
14300-14399,82000-82099,6,6
14300-14399,82100-82199,7,7
14300-14399,82200-82299,6,6
14300-14399,82300-82599,7,7
14300-14399,82600-82899,6,6
14300-14399,82900-83499,7,7
14300-14399,83500-83899,8,8
14300-14399,83900-83999,NA,NA
14300-14399,84000-84799,7,7
14300-14399,84800-84999,NA,NA
14300-14399,85000-85899,8,8
14300-14399,85900-86099,7,7
14300-14399,86100-86299,NA,NA
14300-14399,86300-86499,8,8
14300-14399,86500-88399,7,7
14300-14399,88400-88499,6,6
14300-14399,88500-88599,7,7
14300-14399,88600-88899,NA,NA
14300-14399,88900-96699,8,96700
14300-14399,96701,10,9
14300-14399,96702-96705,12,9
14300-14399,96706-96707,10,9
14300-14399,96708,12,9
14300-14399,96709,10,9
14300-14399,96710,12,9
14300-14399,96711-96712,10,9
14300-14399,96713-96716,12,9
14300-14399,96717,10,9
14300-14399,96718-96729,12,9
14300-14399,96730-96731,10,9
14300-14399,96732-96733,12,9
14300-14399,96734,10,9
14300-14399,96735-96743,12,9
14300-14399,96744,10,9
14300-14399,96745-96757,12,9
14300-14399,96758-96759,10,9
14300-14399,96760-96761,12,9
14300-14399,96762,10,9
14300-14399,96763-96774,12,9
14300-14399,96775,10,9
14300-14399,96776-96781,12,9
14300-14399,96782,10,9
14300-14399,96783-96785,12,9
14300-14399,96786,10,9
14300-14399,96787-96788,12,9
14300-14399,96789,10,9
14300-14399,96790,12,9
14300-14399,96791-96792,10,9
14300-14399,96793,12,9
14300-14399,96794-96795,10,9
14300-14399,96796,12,9
14300-14399,96797,10,9
14300-14399,96798-96800,12,9
14300-14399,96801-96863,10,9
14300-14399,96864-96899,12,9
14300-14399,96900-96999,NA,NA
14300-14399,97000-99499,8,99500
14300-14399,99501-99524,9,17
14300-14399,99525-99539,11,17
14300-14399,99540,9,17
14300-14399,99541-99566,11,17
14300-14399,99567,9,17
14300-14399,99568-99576,11,17
14300-14399,99577,9,17
14300-14399,99578-99999,11,17
14400-14699,00000-00399,NA,NA
14400-14699,00400-00599,3,3
14400-14699,00600-00799,*,NA
14400-14699,00800-00899,NA,NA
14400-14699,00900-00999,*,NA
14400-14699,01000-01699,3,3
14400-14699,01700-03199,4,4
14400-14699,03200-03799,3,3
14400-14699,03800-04999,4,4
14400-14699,05000-05499,3,3
14400-14699,05500-05599,4,4
14400-14699,05600-08399,3,3
14400-14699,08400-08499,4,4
14400-14699,08500-12999,3,3
14400-14699,13000-14999,2,2
14400-14699,15000-15799,3,3
14400-14699,15800-15899,2,2
14400-14699,15900-16299,3,3
14400-14699,16300-16599,2,2
14400-14699,16600-16699,3,3
14400-14699,16700-16799,2,2
14400-14699,16800-16899,3,3
14400-14699,16900-16999,2,2
14400-14699,17000-17699,3,3
14400-14699,17700-17799,2,2
14400-14699,17800-18399,3,3
14400-14699,18400-18899,2,2
14400-14699,18900-21799,3,3
14400-14699,21800-21899,4,4
14400-14699,21900-22399,3,3
14400-14699,22400-22599,4,4
14400-14699,22600-22699,3,3
14400-14699,22700-25399,4,4
14400-14699,25400-25499,3,3
14400-14699,25500-25999,4,4
14400-14699,26000-26099,3,3
14400-14699,26100-26299,4,4
14400-14699,26300-26599,3,3
14400-14699,26600-26699,4,4
14400-14699,26700-26899,3,3
14400-14699,26900-26999,NA,NA
14400-14699,27000-28399,4,4
14400-14699,28400-28499,5,5
14400-14699,28500-28899,4,4
14400-14699,28900-29699,5,5
14400-14699,29700-29799,4,4
14400-14699,29800-32499,5,5
14400-14699,32500-32599,6,6
14400-14699,32600-32899,5,5
14400-14699,32900-34299,6,6
14400-14699,34300-34399,NA,NA
14400-14699,34400-34499,5,5
14400-14699,34500-34599,NA,NA
14400-14699,34600-34699,6,6
14400-14699,34700-34799,5,5
14400-14699,34800-34899,NA,NA
14400-14699,34900-34999,6,6
14400-14699,35000-36499,5,5
14400-14699,36500-36699,6,6
14400-14699,36700-37599,5,5
14400-14699,37600-37999,4,4
14400-14699,38000-39399,5,5
14400-14699,39400-39699,6,6
14400-14699,39700-39999,5,5
14400-14699,40000-41899,4,4
14400-14699,41900-41999,NA,NA
14400-14699,42000-42499,5,5
14400-14699,42500-43899,4,4
14400-14699,43900-44999,3,3
14400-14699,45000-47599,4,4
14400-14699,47600-47799,5,5
14400-14699,47800-47999,4,4
14400-14699,48000-48799,3,3
14400-14699,48800-49999,4,4
14400-14699,50000-52899,5,5
14400-14699,52900-52999,NA,NA
14400-14699,53000-53799,4,4
14400-14699,53800-53899,5,5
14400-14699,53900-53999,4,4
14400-14699,54000-54099,5,5
14400-14699,54100-54599,4,4
14400-14699,54600-54899,5,5
14400-14699,54900-54999,4,4
14400-14699,55000-57299,5,5
14400-14699,57300-57799,6,6
14400-14699,57800-57999,NA,NA
14400-14699,58000-58299,5,5
14400-14699,58300-58899,6,6
14400-14699,58900-58999,NA,NA
14400-14699,59000-59199,7,7
14400-14699,59200-59399,6,6
14400-14699,59400-59999,7,7
14400-14699,60000-61199,4,4
14400-14699,61200-61299,5,5
14400-14699,61300-61399,4,4
14400-14699,61400-61699,5,5
14400-14699,61700-61999,4,4
14400-14699,62000-66799,5,5
14400-14699,66800-67999,6,6
14400-14699,68000-68799,5,5
14400-14699,68800-71499,6,6
14400-14699,71500-71599,NA,NA
14400-14699,71600-71699,5,5
14400-14699,71700-71899,6,6
14400-14699,71900-72899,5,5
14400-14699,72900-76899,6,6
14400-14699,76900-76999,7,7
14400-14699,77000-77899,6,6
14400-14699,77900-78599,7,7
14400-14699,78600-78799,6,6
14400-14699,78800-78899,7,7
14400-14699,78900-79299,6,6
14400-14699,79300-79499,7,7
14400-14699,79500-79699,6,6
14400-14699,79700-79999,7,7
14400-14699,80000-80299,6,6
14400-14699,80300-80599,7,7
14400-14699,80600-80799,6,6
14400-14699,80800-81699,7,7
14400-14699,81700-81999,NA,NA
14400-14699,82000-82099,6,6
14400-14699,82100-82199,7,7
14400-14699,82200-82299,6,6
14400-14699,82300-82699,7,7
14400-14699,82700-82799,6,6
14400-14699,82800-83299,7,7
14400-14699,83300-83399,8,8
14400-14699,83400-83499,7,7
14400-14699,83500-83899,8,8
14400-14699,83900-83999,NA,NA
14400-14699,84000-84799,7,7
14400-14699,84800-84999,NA,NA
14400-14699,85000-86499,8,8
14400-14699,86500-88599,7,7
14400-14699,88600-88899,NA,NA
14400-14699,88900-96699,8,96700
14400-14699,96701,10,9
14400-14699,96702-96705,12,9
14400-14699,96706-96707,10,9
14400-14699,96708,12,9
14400-14699,96709,10,9
14400-14699,96710,12,9
14400-14699,96711-96712,10,9
14400-14699,96713-96716,12,9
14400-14699,96717,10,9
14400-14699,96718-96729,12,9
14400-14699,96730-96731,10,9
14400-14699,96732-96733,12,9
14400-14699,96734,10,9
14400-14699,96735-96743,12,9
14400-14699,96744,10,9
14400-14699,96745-96757,12,9
14400-14699,96758-96759,10,9
14400-14699,96760-96761,12,9
14400-14699,96762,10,9
14400-14699,96763-96774,12,9
14400-14699,96775,10,9
14400-14699,96776-96781,12,9
14400-14699,96782,10,9
14400-14699,96783-96785,12,9
14400-14699,96786,10,9
14400-14699,96787-96788,12,9
14400-14699,96789,10,9
14400-14699,96790,12,9
14400-14699,96791-96792,10,9
14400-14699,96793,12,9
14400-14699,96794-96795,10,9
14400-14699,96796,12,9
14400-14699,96797,10,9
14400-14699,96798-96800,12,9
14400-14699,96801-96863,10,9
14400-14699,96864-96899,12,9
14400-14699,96900-96999,NA,NA
14400-14699,97000-99499,8,99500
14400-14699,99501-99524,9,17
14400-14699,99525-99539,11,17
14400-14699,99540,9,17
14400-14699,99541-99566,11,17
14400-14699,99567,9,17
14400-14699,99568-99576,11,17
14400-14699,99577,9,17
14400-14699,99578-99999,11,17
14700-14799,00000-00399,NA,NA
14700-14799,00400-00599,3,3
14700-14799,00600-00799,*,NA
14700-14799,00800-00899,NA,NA
14700-14799,00900-00999,*,NA
14700-14799,01000-01199,4,4
14700-14799,01200-01299,3,3
14700-14799,01300-04699,4,4
14700-14799,04700-04799,5,5
14700-14799,04800-05199,4,4
14700-14799,05200-05299,3,3
14700-14799,05300-06699,4,4
14700-14799,06700-08399,3,3
14700-14799,08400-08499,4,4
14700-14799,08500-11899,3,3
14700-14799,11900-11999,4,4
14700-14799,12000-12899,3,3
14700-14799,12900-12999,4,4
14700-14799,13000-13299,2,2
14700-14799,13300-13999,3,3
14700-14799,14000-15399,2,2
14700-14799,15400-15499,3,3
14700-14799,15500-16999,2,2
14700-14799,17000-17699,3,3
14700-14799,17700-17899,2,2
14700-14799,17900-21799,3,3
14700-14799,21800-21899,4,4
14700-14799,21900-22999,3,3
14700-14799,23000-24399,4,4
14700-14799,24400-24499,3,3
14700-14799,24500-24899,4,4
14700-14799,24900-25799,3,3
14700-14799,25800-25999,4,4
14700-14799,26000-26099,2,2
14700-14799,26100-26899,3,3
14700-14799,26900-26999,NA,NA
14700-14799,27000-29399,4,4
14700-14799,29400-29499,5,5
14700-14799,29500-29799,4,4
14700-14799,29800-30499,5,5
14700-14799,30500-30599,4,4
14700-14799,30600-30699,5,5
14700-14799,30700-30799,4,4
14700-14799,30800-32999,5,5
14700-14799,33000-33499,6,6
14700-14799,33500-33899,5,5
14700-14799,33900-33999,6,6
14700-14799,34000-34099,5,5
14700-14799,34100-34199,6,6
14700-14799,34200-34799,5,5
14700-14799,34800-34899,NA,NA
14700-14799,34900-34999,6,6
14700-14799,35000-36999,5,5
14700-14799,37000-37499,4,4
14700-14799,37500-37599,5,5
14700-14799,37600-37999,4,4
14700-14799,38000-38399,5,5
14700-14799,38400-38599,4,4
14700-14799,38600-39999,5,5
14700-14799,40000-42799,4,4
14700-14799,42800-42999,NA,NA
14700-14799,43000-43899,3,3
14700-14799,43900-44799,2,2
14700-14799,44800-44999,3,3
14700-14799,45000-45299,4,4
14700-14799,45300-45899,3,3
14700-14799,45900-47999,4,4
14700-14799,48000-48999,3,3
14700-14799,49000-49199,4,4
14700-14799,49200-49299,3,3
14700-14799,49300-49999,4,4
14700-14799,50000-51699,5,5
14700-14799,51700-51999,NA,NA
14700-14799,52000-52099,4,4
14700-14799,52100-52699,5,5
14700-14799,52700-53999,4,4
14700-14799,54000-54099,5,5
14700-14799,54100-54699,4,4
14700-14799,54700-54899,5,5
14700-14799,54900-54999,4,4
14700-14799,55000-57499,5,5
14700-14799,57500-57799,6,6
14700-14799,57800-57999,NA,NA
14700-14799,58000-58299,5,5
14700-14799,58300-58399,6,6
14700-14799,58400-58499,5,5
14700-14799,58500-58899,6,6
14700-14799,58900-58999,NA,NA
14700-14799,59000-59199,7,7
14700-14799,59200-59399,6,6
14700-14799,59400-59999,7,7
14700-14799,60000-61999,4,4
14700-14799,62000-62399,5,5
14700-14799,62400-62999,4,4
14700-14799,63000-67599,5,5
14700-14799,67600-67999,6,6
14700-14799,68000-68999,5,5
14700-14799,69000-70399,6,6
14700-14799,70400-70499,5,5
14700-14799,70500-71199,6,6
14700-14799,71200-71299,5,5
14700-14799,71300-71499,6,6
14700-14799,71500-71599,NA,NA
14700-14799,71600-72999,5,5
14700-14799,73000-73999,6,6
14700-14799,74000-74499,5,5
14700-14799,74500-74899,6,6
14700-14799,74900-74999,5,5
14700-14799,75000-78499,6,6
14700-14799,78500-78599,7,7
14700-14799,78600-78799,6,6
14700-14799,78800-78899,7,7
14700-14799,78900-79699,6,6
14700-14799,79700-79999,7,7
14700-14799,80000-81099,6,6
14700-14799,81100-81699,7,7
14700-14799,81700-81999,NA,NA
14700-14799,82000-82099,6,6
14700-14799,82100-82199,7,7
14700-14799,82200-82299,6,6
14700-14799,82300-82599,7,7
14700-14799,82600-82899,6,6
14700-14799,82900-83499,7,7
14700-14799,83500-83899,8,8
14700-14799,83900-83999,NA,NA
14700-14799,84000-84799,7,7
14700-14799,84800-84999,NA,NA
14700-14799,85000-85499,8,8
14700-14799,85500-85599,7,7
14700-14799,85600-85899,8,8
14700-14799,85900-86099,7,7
14700-14799,86100-86299,NA,NA
14700-14799,86300-86499,8,8
14700-14799,86500-88099,7,7
14700-14799,88100-88199,6,6
14700-14799,88200-88399,7,7
14700-14799,88400-88499,6,6
14700-14799,88500-88599,7,7
14700-14799,88600-88899,NA,NA
14700-14799,88900-96699,8,96700
14700-14799,96701,10,9
14700-14799,96702-96705,12,9
14700-14799,96706-96707,10,9
14700-14799,96708,12,9
14700-14799,96709,10,9
14700-14799,96710,12,9
14700-14799,96711-96712,10,9
14700-14799,96713-96716,12,9
14700-14799,96717,10,9
14700-14799,96718-96729,12,9
14700-14799,96730-96731,10,9
14700-14799,96732-96733,12,9
14700-14799,96734,10,9
14700-14799,96735-96743,12,9
14700-14799,96744,10,9
14700-14799,96745-96757,12,9
14700-14799,96758-96759,10,9
14700-14799,96760-96761,12,9
14700-14799,96762,10,9
14700-14799,96763-96774,12,9
14700-14799,96775,10,9
14700-14799,96776-96781,12,9
14700-14799,96782,10,9
14700-14799,96783-96785,12,9
14700-14799,96786,10,9
14700-14799,96787-96788,12,9
14700-14799,96789,10,9
14700-14799,96790,12,9
14700-14799,96791-96792,10,9
14700-14799,96793,12,9
14700-14799,96794-96795,10,9
14700-14799,96796,12,9
14700-14799,96797,10,9
14700-14799,96798-96800,12,9
14700-14799,96801-96863,10,9
14700-14799,96864-96899,12,9
14700-14799,96900-96999,NA,NA
14700-14799,97000-99499,8,99500
14700-14799,99501-99524,9,17
14700-14799,99525-99539,11,17
14700-14799,99540,9,17
14700-14799,99541-99566,11,17
14700-14799,99567,9,17
14700-14799,99568-99576,11,17
14700-14799,99577,9,17
14700-14799,99578-99999,11,17
14800-14999,00000-00399,NA,NA
14800-14999,00400-00599,3,3
14800-14999,00600-00799,*,NA
14800-14999,00800-00899,NA,NA
14800-14999,00900-00999,*,NA
14800-14999,01000-02499,3,3
14800-14999,02500-02699,4,4
14800-14999,02700-03999,3,3
14800-14999,04000-04999,4,4
14800-14999,05000-06999,3,3
14800-14999,07000-07699,2,2
14800-14999,07700-07799,3,3
14800-14999,07800-07999,2,2
14800-14999,08000-08999,3,3
14800-14999,09000-10499,2,2
14800-14999,10500-10899,3,3
14800-14999,10900-11399,2,2
14800-14999,11400-11599,3,3
14800-14999,11600-11699,2,2
14800-14999,11700-11999,3,3
14800-14999,12000-12899,2,2
14800-14999,12900-12999,3,3
14800-14999,13000-14999,2,2
14800-14999,15000-15699,3,3
14800-14999,15700-15899,2,2
14800-14999,15900-16599,3,3
14800-14999,16600-17299,2,2
14800-14999,17300-17499,3,3
14800-14999,17500-18999,2,2
14800-14999,19000-19299,3,3
14800-14999,19300-19699,2,2
14800-14999,19700-23299,3,3
14800-14999,23300-24399,4,4
14800-14999,24400-24499,3,3
14800-14999,24500-25399,4,4
14800-14999,25400-25499,3,3
14800-14999,25500-25999,4,4
14800-14999,26000-26099,3,3
14800-14999,26100-26199,4,4
14800-14999,26200-26899,3,3
14800-14999,26900-26999,NA,NA
14800-14999,27000-28999,4,4
14800-14999,29000-29299,5,5
14800-14999,29300-29399,4,4
14800-14999,29400-29499,5,5
14800-14999,29500-29799,4,4
14800-14999,29800-32999,5,5
14800-14999,33000-33799,6,6
14800-14999,33800-33899,5,5
14800-14999,33900-34299,6,6
14800-14999,34300-34399,NA,NA
14800-14999,34400-34499,5,5
14800-14999,34500-34599,NA,NA
14800-14999,34600-34699,6,6
14800-14999,34700-34799,5,5
14800-14999,34800-34899,NA,NA
14800-14999,34900-34999,6,6
14800-14999,35000-37599,5,5
14800-14999,37600-37999,4,4
14800-14999,38000-39399,5,5
14800-14999,39400-39699,6,6
14800-14999,39700-39999,5,5
14800-14999,40000-41899,4,4
14800-14999,41900-41999,NA,NA
14800-14999,42000-42499,5,5
14800-14999,42500-43899,4,4
14800-14999,43900-44799,3,3
14800-14999,44800-47599,4,4
14800-14999,47600-47799,5,5
14800-14999,47800-49799,4,4
14800-14999,49800-52899,5,5
14800-14999,52900-52999,NA,NA
14800-14999,53000-53499,4,4
14800-14999,53500-54099,5,5
14800-14999,54100-54399,4,4
14800-14999,54400-56699,5,5
14800-14999,56700-56799,6,6
14800-14999,56800-56999,NA,NA
14800-14999,57000-57199,5,5
14800-14999,57200-58899,6,6
14800-14999,58900-58999,NA,NA
14800-14999,59000-59799,7,7
14800-14999,59800-59999,8,8
14800-14999,60000-60999,4,4
14800-14999,61000-61799,5,5
14800-14999,61800-61999,4,4
14800-14999,62000-66799,5,5
14800-14999,66800-67999,6,6
14800-14999,68000-68299,5,5
14800-14999,68300-71499,6,6
14800-14999,71500-71599,NA,NA
14800-14999,71600-71699,5,5
14800-14999,71700-71999,6,6
14800-14999,72000-72699,5,5
14800-14999,72700-72799,6,6
14800-14999,72800-72899,5,5
14800-14999,72900-73299,6,6
14800-14999,73300-73399,7,7
14800-14999,73400-76899,6,6
14800-14999,76900-76999,7,7
14800-14999,77000-77899,6,6
14800-14999,77900-78899,7,7
14800-14999,78900-78999,6,6
14800-14999,79000-79199,7,7
14800-14999,79200-79299,6,6
14800-14999,79300-80699,7,7
14800-14999,80700-80799,6,6
14800-14999,80800-83299,7,7
14800-14999,83300-83399,8,8
14800-14999,83400-83499,7,7
14800-14999,83500-83899,8,8
14800-14999,83900-83999,NA,NA
14800-14999,84000-84699,7,7
14800-14999,84700-86499,8,8
14800-14999,86500-88599,7,7
14800-14999,88600-88899,NA,NA
14800-14999,88900-96699,8,96700
14800-14999,96701,10,9
14800-14999,96702-96705,12,9
14800-14999,96706-96707,10,9
14800-14999,96708,12,9
14800-14999,96709,10,9
14800-14999,96710,12,9
14800-14999,96711-96712,10,9
14800-14999,96713-96716,12,9
14800-14999,96717,10,9
14800-14999,96718-96729,12,9
14800-14999,96730-96731,10,9
14800-14999,96732-96733,12,9
14800-14999,96734,10,9
14800-14999,96735-96743,12,9
14800-14999,96744,10,9
14800-14999,96745-96757,12,9
14800-14999,96758-96759,10,9
14800-14999,96760-96761,12,9
14800-14999,96762,10,9
14800-14999,96763-96774,12,9
14800-14999,96775,10,9
14800-14999,96776-96781,12,9
14800-14999,96782,10,9
14800-14999,96783-96785,12,9
14800-14999,96786,10,9
14800-14999,96787-96788,12,9
14800-14999,96789,10,9
14800-14999,96790,12,9
14800-14999,96791-96792,10,9
14800-14999,96793,12,9
14800-14999,96794-96795,10,9
14800-14999,96796,12,9
14800-14999,96797,10,9
14800-14999,96798-96800,12,9
14800-14999,96801-96863,10,9
14800-14999,96864-96899,12,9
14800-14999,96900-96999,NA,NA
14800-14999,97000-99499,8,99500
14800-14999,99501-99524,9,17
14800-14999,99525-99539,11,17
14800-14999,99540,9,17
14800-14999,99541-99566,11,17
14800-14999,99567,9,17
14800-14999,99568-99576,11,17
14800-14999,99577,9,17
14800-14999,99578-99999,11,17
15000-15399,00000-00399,NA,NA
15000-15399,00400-00599,4,4
15000-15399,00600-00799,*,NA
15000-15399,00800-00899,NA,NA
15000-15399,00900-00999,*,NA
15000-15399,01000-04399,4,4
15000-15399,04400-04499,5,5
15000-15399,04500-04599,4,4
15000-15399,04600-04899,5,5
15000-15399,04900-07799,4,4
15000-15399,07800-07899,3,3
15000-15399,07900-07999,4,4
15000-15399,08000-08399,3,3
15000-15399,08400-08499,4,4
15000-15399,08500-08699,3,3
15000-15399,08700-12699,4,4
15000-15399,12700-12799,3,3
15000-15399,12800-12999,4,4
15000-15399,13000-13299,3,3
15000-15399,13300-13699,4,4
15000-15399,13700-14699,3,3
15000-15399,14700-14799,2,2
15000-15399,14800-14999,3,3
15000-15399,15000-16899,2,2
15000-15399,16900-21499,3,3
15000-15399,21500-21599,2,2
15000-15399,21600-22599,3,3
15000-15399,22600-22699,2,2
15000-15399,22700-22799,3,3
15000-15399,22800-22999,2,2
15000-15399,23000-23299,3,3
15000-15399,23300-23799,4,4
15000-15399,23800-24399,3,3
15000-15399,24400-24499,2,2
15000-15399,24500-24999,3,3
15000-15399,25000-25499,2,2
15000-15399,25500-25999,3,3
15000-15399,26000-26899,2,2
15000-15399,26900-26999,NA,NA
15000-15399,27000-27499,3,3
15000-15399,27500-28599,4,4
15000-15399,28600-28699,3,3
15000-15399,28700-31499,4,4
15000-15399,31500-31799,5,5
15000-15399,31800-31999,4,4
15000-15399,32000-34999,5,5
15000-15399,35000-35399,4,4
15000-15399,35400-35499,5,5
15000-15399,35500-35999,4,4
15000-15399,36000-36199,5,5
15000-15399,36200-36299,4,4
15000-15399,36300-36799,5,5
15000-15399,36800-36899,4,4
15000-15399,36900-36999,5,5
15000-15399,37000-37499,4,4
15000-15399,37500-37599,5,5
15000-15399,37600-37699,3,3
15000-15399,37700-37999,4,4
15000-15399,38000-38199,5,5
15000-15399,38200-38599,4,4
15000-15399,38600-39899,5,5
15000-15399,39900-40299,4,4
15000-15399,40300-40699,3,3
15000-15399,40700-40999,4,4
15000-15399,41000-41899,3,3
15000-15399,41900-41999,NA,NA
15000-15399,42000-42499,4,4
15000-15399,42500-42699,3,3
15000-15399,42700-42799,4,4
15000-15399,42800-42999,NA,NA
15000-15399,43000-43399,2,2
15000-15399,43400-43699,3,3
15000-15399,43700-44999,2,2
15000-15399,45000-45599,3,3
15000-15399,45600-45799,2,2
15000-15399,45800-45999,3,3
15000-15399,46000-46699,4,4
15000-15399,46700-46899,3,3
15000-15399,46900-46999,4,4
15000-15399,47000-47099,3,3
15000-15399,47100-47199,4,4
15000-15399,47200-47399,3,3
15000-15399,47400-47999,4,4
15000-15399,48000-49299,3,3
15000-15399,49300-49999,4,4
15000-15399,50000-51699,5,5
15000-15399,51700-51999,NA,NA
15000-15399,52000-52099,4,4
15000-15399,52100-52199,5,5
15000-15399,52200-52499,4,4
15000-15399,52500-52599,5,5
15000-15399,52600-53999,4,4
15000-15399,54000-54099,5,5
15000-15399,54100-54699,4,4
15000-15399,54700-54899,5,5
15000-15399,54900-54999,4,4
15000-15399,55000-57499,5,5
15000-15399,57500-57799,6,6
15000-15399,57800-57999,NA,NA
15000-15399,58000-58299,5,5
15000-15399,58300-58899,6,6
15000-15399,58900-58999,NA,NA
15000-15399,59000-59199,7,7
15000-15399,59200-59399,6,6
15000-15399,59400-59999,7,7
15000-15399,60000-63499,4,4
15000-15399,63500-63599,5,5
15000-15399,63600-63999,4,4
15000-15399,64000-67599,5,5
15000-15399,67600-67999,6,6
15000-15399,68000-68999,5,5
15000-15399,69000-69399,6,6
15000-15399,69400-69999,NA,NA
15000-15399,70000-73299,5,5
15000-15399,73300-73699,6,6
15000-15399,73700-73799,5,5
15000-15399,73800-73999,6,6
15000-15399,74000-74999,5,5
15000-15399,75000-75499,6,6
15000-15399,75500-75799,5,5
15000-15399,75800-75899,6,6
15000-15399,75900-75999,5,5
15000-15399,76000-79799,6,6
15000-15399,79800-79999,7,7
15000-15399,80000-81299,6,6
15000-15399,81300-81699,7,7
15000-15399,81700-81999,NA,NA
15000-15399,82000-82099,6,6
15000-15399,82100-82199,7,7
15000-15399,82200-82399,6,6
15000-15399,82400-82599,7,7
15000-15399,82600-82899,6,6
15000-15399,82900-83499,7,7
15000-15399,83500-83899,8,8
15000-15399,83900-83999,NA,NA
15000-15399,84000-84799,7,7
15000-15399,84800-84999,NA,NA
15000-15399,85000-85199,8,8
15000-15399,85200-85399,7,7
15000-15399,85400-85499,8,8
15000-15399,85500-86399,7,7
15000-15399,86400-86499,8,8
15000-15399,86500-87599,7,7
15000-15399,87600-87699,NA,NA
15000-15399,87700-87799,6,6
15000-15399,87800-88099,7,7
15000-15399,88100-88199,6,6
15000-15399,88200-88399,7,7
15000-15399,88400-88499,6,6
15000-15399,88500-88599,7,7
15000-15399,88600-88899,NA,NA
15000-15399,88900-96699,8,96700
15000-15399,96701,10,9
15000-15399,96702-96705,12,9
15000-15399,96706-96707,10,9
15000-15399,96708,12,9
15000-15399,96709,10,9
15000-15399,96710,12,9
15000-15399,96711-96712,10,9
15000-15399,96713-96716,12,9
15000-15399,96717,10,9
15000-15399,96718-96729,12,9
15000-15399,96730-96731,10,9
15000-15399,96732-96733,12,9
15000-15399,96734,10,9
15000-15399,96735-96743,12,9
15000-15399,96744,10,9
15000-15399,96745-96757,12,9
15000-15399,96758-96759,10,9
15000-15399,96760-96761,12,9
15000-15399,96762,10,9
15000-15399,96763-96774,12,9
15000-15399,96775,10,9
15000-15399,96776-96781,12,9
15000-15399,96782,10,9
15000-15399,96783-96785,12,9
15000-15399,96786,10,9
